run,missingness,method,ari,nmi,acc
5,10,mean,0.6728189334371064,0.7501951378505393,0.7681833333333333
5,12,mean,0.6468523856440344,0.7407521121677682,0.7415166666666667
5,14,mean,-6.944719468692693e-05,0.0024367889111547194,0.11096666666666667
5,16,mean,0.5727232328661014,0.6653581223723045,0.68045
5,18,mean,0.4824285541198385,0.5934457340466949,0.6231833333333333
5,20,mean,0.041546166309509205,0.0738144167995534,0.17871666666666666
5,22,mean,0.06127666770146979,0.12321021086313928,0.20411666666666667
5,24,mean,0.09483080546789849,0.19843515081949936,0.22423333333333334
6,0,mean,0.713577129294617,0.7943297343559815,0.7823833333333333
6,2,mean,0.7081468268890773,0.7774267761768464,0.7851166666666667
6,4,mean,0.7490170088939095,0.8108701496924959,0.8066833333333333
6,6,mean,0.5852114989806135,0.7000958126707394,0.7041
6,8,mean,0.7332856588085174,0.7889787248849112,0.8104666666666667
6,10,mean,0.6886342325407158,0.7527503570987352,0.77555
6,12,mean,0.6056657968552107,0.7078038351569506,0.7144166666666667
6,14,mean,0.6188799449273065,0.7078325414026498,0.7302666666666666
6,16,mean,0.5791876989298836,0.6466825306482521,0.70675
6,18,mean,0.5705315464976516,0.6557208628506659,0.6873166666666667
6,20,mean,0.4706429241491711,0.5823452271877106,0.6156666666666667
6,22,mean,0.4793556375657442,0.5732733620181377,0.6102666666666666
6,24,mean,0.27163335630468527,0.3908958333471986,0.45135
7,0,mean,0.7844591326053273,0.8249954006302136,0.8536
7,2,mean,0.743821344118309,0.7934661733524023,0.8309666666666666
7,4,mean,0.7473727831787412,0.8030481274426766,0.80775
7,6,mean,0.7310825471450887,0.7923046474330416,0.7985333333333333
7,8,mean,0.7533592651521747,0.7976408559861675,0.8371333333333333
7,10,mean,0.504899554502776,0.6260785756799849,0.6389333333333334
7,12,mean,0.6517846662505087,0.7308500144528502,0.7568333333333334
7,14,mean,0.35518659564606125,0.49892812976946127,0.5495333333333333
7,16,mean,0.05869337676007157,0.10334264783731469,0.20248333333333332
7,18,mean,0.5344097311799917,0.6364221007925671,0.66165
7,20,mean,0.3835942972204485,0.4674360066745382,0.5412333333333333
7,22,mean,0.07184895157894616,0.09348021581439209,0.2077
7,24,mean,0.3581717820548866,0.4665852906835701,0.5164166666666666
8,0,mean,0.7066004561649452,0.7814068479881254,0.7888
8,2,mean,0.7128919540473454,0.7808531800314179,0.7841166666666667
8,4,mean,0.7610701252789802,0.8086197450705105,0.8055
8,6,mean,0.5789356112187246,0.6959053051805261,0.68895
8,8,mean,0.7740329531608433,0.8348003087406666,0.8166333333333333
8,10,mean,0.7086317838345392,0.7712844665623693,0.7856833333333333
8,12,mean,0.6730917630762346,0.7325359412403012,0.7737666666666667
8,14,mean,0.6303512992318104,0.716428194560612,0.7478666666666667
8,16,mean,0.5835216850904742,0.6929314481134377,0.6974833333333333
8,18,mean,0.0717575392483149,0.11140524272012903,0.2076
8,20,mean,0.06564305139974023,0.10655752922200701,0.20845
8,22,mean,0.06866974305364143,0.09660297695892166,0.20871666666666666
8,24,mean,0.32505142915599194,0.44105966079910225,0.4851666666666667
9,0,mean,0.7622556251463569,0.8198814675049404,0.8086
9,2,mean,0.677800568127972,0.7602369627073301,0.7725333333333333
9,4,mean,0.7240881010491245,0.79051319421521,0.7968
9,6,mean,0.7185995830633126,0.7716279590220372,0.8221333333333334
9,8,mean,0.7598714047468846,0.7991410340378223,0.8408666666666667
9,10,mean,0.68161151589829,0.7609952893312169,0.7647166666666667
9,12,mean,0.7476855749328152,0.8087670610857325,0.799
9,14,mean,0.6434898665532177,0.7317181280562097,0.7481166666666667
9,16,mean,0.48031833635306165,0.607643207663315,0.62775
9,18,mean,0.6313581229281152,0.6915775115536311,0.7333166666666666
9,20,mean,0.120870989239644,0.15051051463878315,0.25028333333333336
9,22,mean,0.06644666273178657,0.12573644529106745,0.19925
9,24,mean,0.0738239186211998,0.16144831068011178,0.2017
0,0,knn,0.7409177338950516,0.8056508830888933,0.8046333333333333
0,2,knn,0.6986375608511866,0.7754985207166264,0.7761833333333333
0,4,knn,0.7361421181641541,0.7931717874580653,0.7992833333333333
0,6,knn,0.7086094201782169,0.7721190076875392,0.78615
0,8,knn,0.7435681444641447,0.7992694578870723,0.7986666666666666
0,10,knn,0.7835502238954305,0.8182914574700242,0.8537833333333333
0,12,knn,0.7353422485198685,0.7914146190543323,0.7929833333333334
0,14,knn,0.6250303250400147,0.6958425072651855,0.74705
0,16,knn,0.7315565315025734,0.7965829327116446,0.7924666666666667
0,18,knn,0.6199289382706026,0.6960734028470724,0.7336833333333334
0,20,knn,0.5870817829262459,0.6321904344263546,0.7293333333333333
0,22,knn,0.4341486795799806,0.5457186794805077,0.5992333333333333
0,24,knn,0.44087594897068627,0.5249523434771703,0.6140833333333333
1,0,knn,0.7411636816239298,0.802655018448361,0.79525
1,2,knn,0.7756618344115145,0.8305552152692609,0.8158333333333333
1,4,knn,0.7518587783384357,0.8056012467726223,0.8076833333333333
